Twitter Username,Stripped Name,Handle
Rep. Nydia Velazquez,Nydia Velazquez,NydiaVelazquez
Eliot Engel,Eliot Engel,RepEliotEngel
Rep. Emanuel Cleaver,Emanuel Cleaver,repcleaver
Steve Cohen,Steve Cohen,RepCohen
Rep. Bobby Scott,Bobby Scott,repbobbyscott
Rep. Kay Granger,Kay Granger,RepKayGranger
Rep.Grace Napolitano,Grace Napolitano,gracenapolitano
Congressman Sam Farr,Sam Farr,RepSamFarr
Congressman Al Green,Al Green,RepAlGreen
David E. Price,David Price,RepDavidEPrice
Gary G. Miller,Gary Miller,RepGaryMiller
Lloyd Doggett,Lloyd Doggett,RepLloydDoggett
Rep. Marcia L. Fudge,Marcia Fudge,RepMarciaFudge
HouseBudgetDems,HouseBudgetDems,HouseBudgetDems
Chris Murphy,Chris Murphy,ChrisMurphyCT
Bob Brady,Bob Brady,RepBrady
Rob Bishop,Rob Bishop,RepRobBishop
Rosa DeLauro,Rosa DeLauro,rosadelauro
John Conyers,John Conyers,RepJohnConyers
Rep. Ted Deutch,Ted Deutch,RepTedDeutch
Lynn Westmoreland,Lynn Westmoreland,RepWestmoreland
Xavier Becerra,Xavier Becerra,RepBecerra
Barbara Mikulski,Barbara Mikulski,SenatorBarb
Jim McDermott,Jim McDermott,RepJimMcDermott
Fred Upton,Fred Upton,RepFredUpton
Rep. Tim Murphy,Tim Murphy,RepTimMurphy
Sen. Maria Cantwell,Maria Cantwell,SenatorCantwell
JEC Democrats,JEC Democrats,JECDems
D Wasserman Schultz,D Wasserman Schultz,DWStweets
Energy and Commerce,Energy and Commerce,HouseCommerce
Rep. Ron Kind,Ron Kind,RepRonKind
Rep. Joe Crowley,Joe Crowley,repjoecrowley
Rep. Gene Green,Gene Green,RepGeneGreen
Diane Black,Diane Black,RepDianeBlack
Sen. Jeanne Shaheen,Jeanne Shaheen,SenatorShaheen
JEC Republicans,JEC Republicans,JECRepublicans
Senator Ben Cardin,Ben Cardin,SenatorCardin
Loretta Sanchez,Loretta Sanchez,LorettaSanchez
Senate Banking Dems,Banking Dems,SenateBanking
Senator Mazie Hirono,Mazie Hirono,maziehirono
John Garamendi,John Garamendi,RepGaramendi
Mike Lee,Mike Lee,SenMikeLee
Rep. Joe Courtney,Joe Courtney,RepJoeCourtney
John Fleming,John Fleming,RepFleming
Paul Tonko,Paul Tonko,RepPaulTonko
Senate Energy GOP,Energy GOP,EnergyGOP
Rep Donna F Edwards,Donna F Edwards,repdonnaedwards
RepBThompson,BThompson,BennieGThompson
Sheila Jackson Lee,Sheila Jackson Lee,JacksonLeeTX18
